target,ct,quantity,log_quantity
bcov,5.175701141,60200000,7.779596491
bcov,5.414276123,60200000,7.779596491
bcov,5.37228775,60200000,7.779596491
bcov,8.973420143,6020000,6.779596491
bcov,9.124596596,6020000,6.779596491
bcov,8.876227379,6020000,6.779596491
bcov,12.05356026,602000,5.779596491
bcov,12.08478165,602000,5.779596491
bcov,12.05405807,602000,5.779596491
bcov,15.33148766,60200,4.779596491
bcov,15.06470203,60200,4.779596491
bcov,14.87378502,60200,4.779596491
