sample_date,facility,target,n.bio,n.bio.non.miss,n.bio.miss,n.total,n.total.miss,bio.ct.mean,bio.ct.sd,tech.ct.dists
2020-08-04,C,N1,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-08-04,C,N2,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-08-11,A,N1,2,1,1,6,5,37.00163269,NA,"A = NA (sd=NA, n=0); B = 37 (sd=NA, n=1)"
2020-08-11,A,N2,2,1,1,6,5,36.81105423,NA,"A = NA (sd=NA, n=0); B = 36.81 (sd=NA, n=1)"
2020-08-11,B,N1,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-08-11,B,N2,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-08-11,C,N1,2,1,1,6,5,35.11736679,NA,"A = 35.12 (sd=NA, n=1); B = NA (sd=NA, n=0)"
2020-08-11,C,N2,2,0,2,6,6,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0)"
2020-08-18,A,N1,2,1,1,6,5,36.58713531,NA,"A = 36.59 (sd=NA, n=1); B = NA (sd=NA, n=0)"
2020-08-18,A,N2,2,2,0,6,3,36.985206607500004,0.029622827919780947,"A = 37.01 (sd=NA, n=1); B = 36.96 (sd=0.02, n=2)"
2020-08-18,B,N1,2,2,0,6,4,36.40597725,1.032318610740946,"A = 37.14 (sd=NA, n=1); B = 35.68 (sd=NA, n=1)"
2020-08-18,B,N2,2,2,0,6,3,36.536773679999996,0.647726258870605,"A = 36.08 (sd=NA, n=1); B = 36.99 (sd=0.03, n=2)"
2020-08-18,C,N1,2,1,1,6,4,35.45380402000001,NA,"A = NA (sd=NA, n=0); B = 35.45 (sd=0.76, n=2)"
2020-08-18,C,N2,2,2,0,6,2,35.83395195166666,0.029517632822455838,"A = 35.85 (sd=NA, n=1); B = 35.81 (sd=0.14, n=3)"
2020-08-25,A,N1,2,2,0,6,3,36.4786586725,0.1039118764731727,"A = 36.55 (sd=0.73, n=2); B = 36.41 (sd=NA, n=1)"
2020-08-25,A,N2,2,1,1,6,5,36.51285553,NA,"A = 36.51 (sd=NA, n=1); B = NA (sd=NA, n=0)"
2020-08-25,B,N1,2,1,1,6,5,36.49091721,NA,"A = 36.49 (sd=NA, n=1); B = NA (sd=NA, n=0)"
2020-08-25,B,N2,2,1,1,6,5,37.00814438,NA,"A = NA (sd=NA, n=0); B = 37.01 (sd=NA, n=1)"
2020-08-25,C,N1,2,1,1,6,5,36.22146606,NA,"A = NA (sd=NA, n=0); B = 36.22 (sd=NA, n=1)"
2020-08-25,C,N2,2,1,1,6,5,37.05305862,NA,"A = NA (sd=NA, n=0); B = 37.05 (sd=NA, n=1)"
2020-09-01,A,N1,2,2,0,6,2,35.39644146,0.578922364898102,"A = 35.81 (sd=0.94, n=2); B = 34.99 (sd=1.04, n=2)"
2020-09-01,A,N2,2,2,0,6,1,35.71880626583334,0.5908988174773298,"A = 36.14 (sd=1.04, n=3); B = 35.3 (sd=1.41, n=2)"
2020-09-01,B,N1,2,2,0,6,3,36.453196525,0.36483795922180523,"A = 36.71 (sd=0.51, n=2); B = 36.2 (sd=NA, n=1)"
2020-09-01,B,N2,2,2,0,6,4,35.768722534999995,0.32171329854632524,"A = 36 (sd=NA, n=1); B = 35.54 (sd=NA, n=1)"
