"","wrf","collection_num","cq_sample","sd_sample","cq_control","sd_control","date","cq_change"
"1","C",20,18.8905939120791,0.0697656054535064,17.6747243240944,0.140061908792057,2020-09-29,1.21586958798463
"2","C",21,18.5482511069085,0.211484520316175,17.3239003325365,0.037622653421365,2020-10-06,1.22435077437198
"3","C",22,17.1632199011387,0.458107825910386,17.3787577691277,0.610124669036608,2020-10-13,-0.215537867989028
"4","C",24,16.0166682833566,0.109785256044289,15.2313939517015,0.0789424329255175,2020-10-27,0.785274331655122
"5","C",25,16.6788692872048,0.0323785741672045,16.5567672651754,0.0726404231358725,2020-11-02,0.122102022029466
"6","C",26,16.8260051161517,0.0739705170548527,16.6893759539608,0.0489912797539225,2020-11-04,0.136629162190911
"7","C",27,17.5825059291377,0.0219721463562856,16.7843336233787,0.0598599603171275,2020-11-09,0.798172305759
"8","C",29,18.4591557758349,0.135333604921368,17.5014047464025,0.179270482847375,2020-11-16,0.957751029432373
"9","C",30,17.9709769862485,0.0435380338800922,16.9317362586594,0.056170877716238,2020-11-18,1.03924072758908
"10","C",31,17.0069946686787,0.0526458797234852,16.6691943952903,0.0826058735430397,2020-11-23,0.337800273388357
"11","C",32,16.5766422746759,0.0792096227320991,16.2707986279557,0.024017309341086,2020-11-25,0.305843646720252
"12","C",33,16.8708244084278,0.0957864353739399,16.5369709044349,0.05323386162699,2020-11-30,0.333853503992898
"13","C",34,16.9339017656613,0.0328962899418545,16.6655955553555,0.155154310794547,2020-12-02,0.268306210305759
"14","C",35,17.4404323512896,0.0788966561692294,17.1401576511227,0.00593763697260446,2020-12-07,0.300274700166888
"15","C",36,17.1679530398865,0.0675859614262511,17.2085359573358,0.135109305452811,2020-12-09,-0.0405829174493384
"16","C",37,17.2145530774499,0.096015490680245,16.8707223491298,0.112712048611188,2020-12-14,0.343830728320096
"17","C",38,17.0041131608712,0.0829526640981405,16.8081137049517,0.0913902928528873,2020-12-16,0.195999455919583
"18","C",39,17.1605013477519,0.110490875449102,17.2013034213925,0.0894160896778908,2020-12-21,-0.0408020736405916
"19","C",48,19.6646869398155,0.146731142478496,19.3930592005366,0.126707904518342,2021-01-27,0.271627739278912
"20","C",49,15.3316335131268,0.34451030718806,16.2661266706931,0.648637172219446,2021-02-01,-0.934493157566319
"21","C",50,15.8152862548779,0.314421835164291,16.4669437266386,1.32608177217522,2021-02-03,-0.651657471760648
"22","C",51,16.2502791790694,1.63400256881896,14.0885928155799,0.0235028098906626,2021-02-08,2.16168636348947
"23","C",52,17.6223322449745,2.00323079092734,13.6055228392799,0.477093715308166,2021-02-10,4.01680940569457
"24","C",53,16.6098672776667,1.11187957851763,17.5122320623811,1.99547443830065,2021-02-15,-0.902364784714383
"25","C",54,13.8809557,0,18.0794819596941,13.4526021652223,2021-02-17,-4.19852625969409
"26","C",55,15.2080337708276,0.457409810167073,13.3258227604114,0.213754038308443,2021-02-22,1.88221101041614
"27","C",57,14.9540205610459,0.706940956364159,13.7796671078092,0.841865470893353,2021-03-01,1.17435345323666
"28","C",58,18.8470092073983,0.664903988963253,16.8891858560274,3.18077484677705,2021-03-03,1.95782335137089
"29","C",59,18.179325368351,2.01959677244094,14.1212530716968,0.475551739131166,2021-03-08,4.05807229665418
"30","C",60,16.9957948177004,0.821579335239199,14.944818380838,0.461021506257175,2021-03-10,2.05097643686245
"31","C",61,17.2693034255672,1.00354782995954,17.1034227144552,1.31606617413748,2021-03-15,0.165880711112035
"32","C",63,18.6919690336711,0.956498491541495,15.2103056710344,0.505662073891637,2021-03-22,3.48166336263669
"33","C",64,19.4578524962942,0.100981893581682,17.0359891838211,1.65360946880882,2021-03-24,2.42186331247311
"34","C",67,19.9516079843787,0.0658517740521389,13.4445322734359,0.987746130794429,2021-04-05,6.50707571094277
"35","C",68,19.0541876003053,1.63034573986043,17.8970583844566,2.42795001710349,2021-04-07,1.15712921584866
"36","C",69,17.6901890824026,0.291316255132915,14.3774977996357,0.764346156164662,2021-04-12,3.3126912827669
"37","C",70,18.7808328231819,0.123690009825229,12.7788346489924,0.460033129460858,2021-04-14,6.00199817418943
"38","C",71,18.1289751178459,0.191394048903605,14.9265195069673,2.97047286816072,2021-04-19,3.20245561087854
"39","C",72,19.9456170541368,0.0399763467227678,18.2964812960245,1.67598561911308,2021-04-21,1.64913575811233
"40","C",74,19.4608342677777,0.161064027427923,18.0971201668431,1.45189767474226,2021-04-28,1.36371410093461
"41","C",75,17.1674510334501,0.623950587529696,12.4848724982148,5.98714682153496,2021-05-03,4.68257853523531
