"","wrf","collection_num","cg_num","copies_ul_sample","avg_ct.x","copies_ul_input","avg_ct.y","percent_recovery","date"
"1","C",20,6,4.14613323202424,32.751720827389,8.56932103867332,24.4326744219049,48.383450839486,2020-09-29
"2","C",21,6,0.553140010588565,35.5837201966576,8.56932103867332,24.4326744219049,6.45488724360128,2020-10-06
"3","C",22,7,0.679840792579761,35.1785195610682,28.7651133123272,22.7276036221017,2.36342122208299,2020-10-13
"4","C",25,25,19.6395768519104,30.56609299561,66.4729917410693,21.5602576629054,29.5451977374691,2020-11-02
"5","C",26,26,23.4975083390653,30.3136876747185,47.805994186948,22.0238147742513,49.1518035315342,2020-11-04
"6","C",29,29,10.0813727859598,31.5039421726867,29.8539890195432,22.6858157961426,33.7689304412896,2020-11-16
"7","C",30,30,9.21409324690524,31.6302199029566,21.8355609080501,23.1257769202275,42.1976485317045,2020-11-18
"8","C",31,31,13.5908394209594,31.083809090262,21.0073979603694,23.1795908579839,64.6954917815077,2020-11-23
"9","C",32,32,18.503451192726,30.6499441566915,43.7679605660207,22.1477704919321,42.2762471758648,2020-11-25
"10","C",33,33,29.8609535248735,29.9769575713694,26.5945113288712,22.8485045362191,112.282392241049,2020-11-30
"11","C",34,34,19.5918375674216,30.5696041323285,52.9109505978253,21.8811557989972,37.0279447752482,2020-12-02
"12","C",35,35,8.73778292776527,31.7050281364804,27.6506816499099,22.793746572585,31.6006058671387,2020-12-07
"13","C",36,36,16.3674745556988,30.8224502601139,29.0413198235185,22.7247473516802,56.3592655401424,2020-12-09
"14","C",37,37,17.7352623598092,30.7091519188211,32.8040084249123,22.5527344617632,54.0643147327707,2020-12-14
"15","C",38,38,21.437263178548,30.443007655271,30.5664354045562,22.6527360698838,70.1333436327108,2020-12-16
"16","C",39,39,32.3362922212298,29.8649872754272,58.6419797496868,21.7363537457686,55.1418836118037,2020-12-21
"17","C",49,49,18.9101955426239,30.618935761951,89.3142192898934,21.1445207309619,21.1726595081638,2021-02-01
"18","C",51,51,1.52950403667002,34.1550768115164,4.77807048404407,25.2609858112648,32.0109140662044,2021-02-08
"19","C",52,52,2.12556573485574,33.6920804081672,5.94196927059772,24.9550599271576,35.7720755200392,2021-02-10
"20","C",53,53,5.26968678697885,32.4157817998514,12.4369555676365,23.917115908354,42.3711957345223,2021-02-15
"21","C",55,55,9.08357818375743,31.6492856107492,46.3967211928878,22.0658786983081,19.5780605831902,2021-02-22
"22","C",56,56,33.6357704573199,29.7939032231282,230.056788277381,19.8039425569018,14.6206381081723,2021-02-24
"23","C",57,57,10.8239841847284,31.403980191581,36.3781752701945,22.37692481501,29.7540602417098,2021-03-01
"24","C",58,58,23.4059634829812,30.3150298399847,80.9728546383124,21.2767009666208,28.9059384006288,2021-03-03
"25","C",60,60,9.96495250801864,31.5035906237101,40.1464440200486,22.2665510587999,24.8215072374586,2021-03-10
"26","C",61,61,9.19890886399544,31.622939039556,36.5061936675927,22.402978856631,25.1982141653993,2021-03-15
"27","C",62,62,2.72299671960216,33.3437863467163,4.49086657627229,25.3491524728743,60.6341042058395,2021-03-17
"28","C",64,64,4.61381435449145,32.6027856223507,12.0884797481868,23.9568561998343,38.1670354800692,2021-03-24
"29","C",65,68,2.47790402264152,33.47732162,5.20768320595357,25.1413606860442,47.5816965941536,2021-03-29
"30","C",66,66,12.6316613868787,31.1863821231511,24.0908501259839,22.9874965432556,52.4334397533547,2021-03-31
"31","C",67,67,5.37731160049033,32.3867849969094,8.13866974804332,24.5132271320493,66.0711365242843,2021-04-05
"32","C",68,68,1.97682640828697,33.7944458304846,5.20768320595357,25.1413606860442,37.9598053511973,2021-04-07
"33","C",69,69,0.605965091633143,35.4575590519495,0.91721007196916,27.5832772577572,66.0661183464978,2021-04-12
"34","C",70,70,6.34161611962047,32.15544129901,27.8484301539017,22.7833117849612,22.7718980372471,2021-04-14
"35","C",71,71,0.532218433122682,35.639464562489,0.725353905376298,27.913344006655,73.3736220592317,2021-04-19
"36","C",72,72,1.02921096277291,34.7121566229872,5.52914092255833,25.0570998135092,18.6143015196779,2021-04-21
"37","C",74,74,2.56393016338982,33.4288554784522,8.91972592721445,24.3843835872428,28.7444948904446,2021-04-28
"38","C",75,75,24.6384889747284,30.2470814301723,73.4324275585992,21.4198401893179,33.5526003890677,2021-05-03
"39","C",77,77,2.14506291464457,33.6794362503261,8.73734077070468,24.4133418669748,24.5505236769147,2021-05-10
"40","C",78,78,3.08112496515892,33.1705771997874,9.81240300444633,24.249879380759,31.4003100337681,2021-05-12
"41","C",79,79,1.75456915630885,33.9619116773078,6.38117372453657,24.8547629556378,27.4960255283799,2021-05-17
"42","C",80,80,2.75805082703117,33.3260948726448,12.2924936550241,23.9332273075547,22.4368700479575,2021-05-19
"43","C",87,87,7.16018066306224,31.9814769181305,17.6243324989954,23.4250262612934,40.6266771434912,2021-06-14
"44","C",88,88,3.50391966933016,32.99010086,15.3325761288075,23.6226046699684,22.8527785539369,2021-06-16
"45","C",90,90,2.20969737435047,33.636542664954,15.1563712171612,23.6390903189579,14.5793299906015,2021-06-23
"46","C",92,92,20.4193830590778,30.5109378819367,38.022618658251,22.3417605081713,53.7032529048252,2021-06-30
"47","B",10,3,60.8725734107439,28.7121084511161,23.4947736682784,23.0035870013816,259.089848109204,2020-07-21
"48","B",11,3,17.2629300423019,30.7475730421277,23.4947736682784,23.0035870013816,73.4756175396128,2020-07-28
"49","B",12,3,3.18744477415289,33.1226432130146,23.4947736682784,23.0035870013816,13.5666119587116,2020-08-04
"50","B",13,4,2.65583511817579,33.378246591082,11.0396950206985,24.0845463020888,24.0571420967366,2020-08-11
"51","B",14,4,6.74292673632206,32.069473826008,11.0396950206985,24.0845463020888,61.0789222318157,2020-08-18
"52","B",15,4,2.68619634809236,33.3511927157322,11.0396950206985,24.0845463020888,24.3321608346605,2020-08-25
"53","B",16,5,0.560074887790815,35.5684245968329,7.80378684429459,24.5727093283111,7.17696291512998,2020-09-01
"54","B",17,5,3.67178797140635,32.9019459481574,7.80378684429459,24.5727093283111,47.0513616615608,2020-09-08
"55","B",18,5,1.81776962663365,33.8825530514635,7.80378684429459,24.5727093283111,23.2934300090813,2020-09-15
"56","B",19,6,3.30354536829186,33.0714292271274,8.56932103867332,24.4326744219049,38.5508414655369,2020-09-22
"57","B",20,6,4.30481488489275,32.6885573953903,8.56932103867332,24.4326744219049,50.2351920935758,2020-09-29
"58","B",21,6,5.96256944519063,32.2418159493257,8.56932103867332,24.4326744219049,69.5804185451983,2020-10-06
"59","B",22,7,10.6004043868555,31.4271633417321,28.7651133123272,22.7276036221017,36.85159961568,2020-10-13
"60","B",25,25,20.8119559716938,30.4846324904903,66.4729917410693,21.5602576629054,31.308890162131,2020-11-02
"61","B",26,26,23.441981011844,30.3173093779991,47.805994186948,22.0238147742513,49.0356521405513,2020-11-04
"62","B",29,29,6.42415141479947,32.1376276069358,29.8539890195432,22.6858157961426,21.5185696309932,2020-11-16
"63","B",30,30,9.74022431718196,31.5523701152501,21.8355609080501,23.1257769202275,44.6071633249917,2020-11-18
"64","B",31,31,12.6514996252894,31.1843145947357,21.0073979603694,23.1795908579839,60.2240203625241,2020-11-23
