run_date,run_num,sample_date,collection_num,target,sample_id,ct
2021-07-07,105,2021-07-06,93,N2,NO_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_C,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_C,Undetermined
2021-07-07,105,2021-07-06,93,N2,NO_93_C,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_C,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_C,Undetermined
2021-07-07,105,2021-07-06,93,N2,MI_93_C,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_A,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_B,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_C,39.63
2021-07-07,105,2021-07-06,93,N2,CC_93_C,Undetermined
2021-07-07,105,2021-07-06,93,N2,CC_93_C,39.4
2021-07-14,106,2021-07-12,95,N2,NO_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,NO_95_A,39.63042264
2021-07-14,106,2021-07-12,95,N2,NO_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,MI_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,MI_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,MI_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,CC_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,CC_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,CC_95_A,Undetermined
2021-07-14,106,2021-07-12,95,N2,NO_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,NO_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,NO_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,MI_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,MI_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,MI_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,CC_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,CC_95_B,Undetermined
2021-07-14,106,2021-07-12,95,N2,CC_95_B,Undetermined
